"filename", "language", "CMake", "Markdown", "C", "C++", "XML", "CMake Cache", "JSON", "YAML", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\.idea\editor.xml", "XML", 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 344
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\.idea\material_theme_project_new.xml", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\.idea\misc.xml", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\.idea\wasolution.iml", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\CMakeLists.txt", "CMake", 21, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\README.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 18, 91
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\.cmake\api\v1\reply\cache-v2-9281d20236b15dda28cc.json", "JSON", 0, 0, 0, 0, 0, 0, 1867, 0, 0, 1, 1868
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\.cmake\api\v1\reply\cmakeFiles-v1-75907a181e21856c68b1.json", "JSON", 0, 0, 0, 0, 0, 0, 1054, 0, 0, 1, 1055
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\.cmake\api\v1\reply\codemodel-v2-0b7e907d692367a55f22.json", "JSON", 0, 0, 0, 0, 0, 0, 60, 0, 0, 1, 61
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\.cmake\api\v1\reply\index-2025-06-12T11-00-36-0908.json", "JSON", 0, 0, 0, 0, 0, 0, 132, 0, 0, 1, 133
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\.cmake\api\v1\reply\target-wasolution-Debug-588b8bf5d40c13eea3d7.json", "JSON", 0, 0, 0, 0, 0, 0, 365, 0, 0, 1, 366
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\.cmake\api\v1\reply\toolchains-v1-e075ba6d9aa913b23ac1.json", "JSON", 0, 0, 0, 0, 0, 0, 90, 0, 0, 1, 91
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 417, 0, 0, 0, 122, 539
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\CMakeFiles\4.0.2\CMakeCXXCompiler.cmake", "CMake", 83, 0, 0, 0, 0, 0, 0, 0, 0, 26, 109
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\CMakeFiles\4.0.2\CMakeRCCompiler.cmake", "CMake", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\CMakeFiles\4.0.2\CMakeSystem.cmake", "CMake", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\CMakeFiles\4.0.2\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 708, 0, 0, 0, 0, 62, 151, 921
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 331, 2, 16, 349
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\CMakeFiles\InstallScripts.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\build\cmake_install.cmake", "CMake", 54, 0, 0, 0, 0, 0, 0, 0, 0, 8, 62
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\dependencies\dotenv.h", "C", 0, 0, 173, 0, 0, 0, 0, 0, 161, 47, 381
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\dependencies\json.h", "C", 0, 0, 18050, 0, 0, 0, 0, 0, 4516, 3062, 25628
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\dependencies\json_fwd.h", "C", 0, 0, 111, 0, 0, 0, 0, 0, 43, 33, 187
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\api\api_constants.h", "C", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\api\evolution.cpp", "C++", 0, 0, 0, 195, 0, 0, 0, 0, 0, 31, 226
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\api\evolution.h", "C", 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\api\wuzapi.cpp", "C++", 0, 0, 0, 148, 0, 0, 0, 0, 0, 36, 184
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\api\wuzapi.h", "C", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\config\config.cpp", "C++", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\config\config.h", "C", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\constants.h", "C", 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\database\database.cpp", "C++", 0, 0, 0, 102, 0, 0, 0, 0, 0, 8, 110
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\database\database.h", "C", 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\handler\handler.cpp", "C++", 0, 0, 0, 118, 0, 0, 0, 0, 0, 15, 133
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\handler\handler.h", "C", 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Usuario\Desktop\PROJETOS\wasolution\src\main.cpp", "C++", 0, 0, 0, 104, 0, 0, 0, 0, 0, 20, 124
"Total", "-", 174, 73, 18455, 1391, 379, 417, 3590, 331, 4784, 3646, 33240